site,component,n,dec_geog,inc_geog,dec,inc,k,a95,methods
LMS1,H1,6,233.3,-62.1,135.9,-52.8,64.5,9,GC+PCA
LMS3,H1,6,85.5,63.8,281.7,60.7,101.1,8.7,GC
LMS4,H1,22,102.3,64.1,299.2,75.6,106.9,3,PCA
LMS9,H1,16,275.2,-58.6,88.1,-66.3,17.9,9,GC+PCA
LMS10,H1,5,261.2,-71.3,104.5,-63.9,39,14.1,GC+PCA
LMS14,H1,7,32.7,-68.7,82.7,-73.4,52.7,8.4,PCA
LM4,H1,6,243,-52.8,127.5,-64.9,21.3,14.9,PCA
LM7,H1,4,95.1,69.4,282.7,68.8,47.7,13.4,PCA
LM9,H1,6,98.1,55.3,305.8,76.7,92.9,7,PCA
LM25,H1,5,213.8,17.2,235.4,73.2,139.4,6.5,PCA