Code,"Host rock lithology, location",Period,Age (Ma),Lith,lonS,latS,lonP,latP,a95,lonP_IFcorr,latP_IFcorr,Q,Reference
E1-2.S.2,Sandstone; Yunnan,E1,61,0,101,26,221.7,71.2,6.5,191.9,74.9,6,Yoshioka et al. (2003)
E1-2.S.3,Sandstone; Hunan,E1,61,0,112.9,26.9,300.7,82.6,4.4,99.2,86.1,5,Sun et al. (2006)
E1-2.S.4,Sediments; Jiangxi,E1,61,0,114.5,25.5,248.3,72.4,3.5,223.7,77.2,6,Clyde et al. (2008)
E1-2.S.5,Sediments; Hunan,E1,61,0,112,27,256.4,73.6,5.6,231.3,79.6,4,Bowen et al. (2002)
E1-2.S.6,Sandstone; Guangxi,E1,61,0,108.3,22.7,228,83.6,8.5,141.3,80.6,6,Zhao et al. (1994)
K2.S.1,Sandstone; Anhui,K2-E1,66,0,117,31,221.8,82.4,6.7,144.9,76.7,6,Gilder et al. (1999)
K2.S.2,Dykes; Hongkong,K2,80,1,114.3,22.3,211.2,69.3,8.9,,,6,Li et al. (2005)
K2.S.3,Redbeds; Jiangsu,K2,83.3,0,119,32,172.6,76.3,10.3,139.9,65.9,5,Kent et al. (1986)
K2.S.4,Redbeds; Sichuan,K2,83.3,0,102.9,30,241.1,72.8,5.5,208.5,79,4,"Enkin et al. (1991a, 1991b)"
K2.S.5,Sandstone; Zhejiang,K2,83.3,0,119.9,28.4,214.3,81,6.4,151.1,75.1,5,Morinaga and Liu (2004)
K2.S.6,Sandstone; Fujian,K2,83.3,0,117.8,26.4,201.7,79.7,5.8,149.3,73.1,5,Morinaga and Liu (2004)
K2.S.7,Sandstone; Guandong,K2,83.3,0,115.8,24.1,177.7,80.8,8,137.1,70.8,5,Morinaga and Liu (2004)
K2.S.8,Redbed; Hunan,K2,83.3,0,109.9,27.9,168.1,83.5,4,124.7,71.9,5,Zhu et al. (2006)
K2.S.10,Redbeds; Jiangxi,K2,83.3,0C,114.9,25.9,225.1,74.4,5.2,225.1,74.4,6,Wang and Yang (2007)
K2.S.11,Redbeds; Hunan,K2,83.3,0,112.6,26.9,236.3,71.9,4.7,204.4,76,5,Sun et al. (2006)
K2.S.13,Sediments; Sichuan,K2,83.3,0,102.3,26.6,220.9,81.5,7.1,142.1,79.6,6,Huang and Opdyke (1992)
K2.S.14,Sandstone; Yunnan,K2,83.3,0,102.7,25.9,201.2,64.5,3.2,174.7,65.9,5,Otofuji et al. (1998)
K1.S.1,Sandstone; Sichuan,K1-K2,100.5,0,102.3,27.9,241.7,85.2,3.5,119.3,80.6,5,Tamai et al. (2004)
K1.S.4,Redbeds; Guangxi,K1,122.8,0,108.4,22.4,144.1,84.9,4.4,116.9,72.4,5,Kawamura et al. (2013)
K1.S.6,Granite pluton; Hongkong,K1,122.8,1,114.2,22.2,171.9,78.2,10.6,,,6,Chan (1991)
K1.S.7,Sandstone; Zhejiang,K1,122.8,0,120,29,207.1,81.8,6.9,146.1,74.2,5,Morinaga and Liu (2004)
K1.S.8,Redbeds; Hainan,K1,122.8,0,109.4,19.1,162.1,77.7,4.4,132,67.7,5,Liu and Morinaga (1999)
K1.S.9,Sediments; South Korea,K1,122.8,0,128,36.5,205.1,67.6,5.8,169.7,64.5,5,Lee et al. (1987)
K1.S.10,"Sandstone, siltstone; Fujian",K1,122.8,0,117.3,26,221.4,66.9,5.4,193.3,68.8,5,Zhai et al. (1992)
K1.S.11,Sediments; Sichuan,K1,122.8,0,102.4,26.5,204.6,69,4.3,171.7,70.2,6,Huang and Opdyke (1992)
K1.S.12,Sandstone; Jiangxi,K1,122.8,0,115.2,26.1,224.3,76.3,3.3,173.8,76.3,4,Tsuneki et al. (2009)
K1.S.14,Redbeds; Guangxi,K1,122.8,0,108.7,22.7,26.4,86.5,6.8,95.1,76.8,6,Gilder et al. (1993a)
K1.S.15,Redbeds; Hainan,K1,122.8,0,109.4,18.9,143,83.2,9.8,119.7,71.3,4,Li et al. (1995)
K1.S.16,Redbeds; Sichuan,K1,122.8,0,102.9,30,229,74.5,3.6,181.9,78.5,4,"Enkin et al. (1991a, 1991b)"
K1.S.17,Sandstone; Hunan,K1,122.8,0,110.2,28.2,187.5,79.8,6.4,137.7,71.8,5,Zhu et al. (2006)
J3.S.1,"Sandstone, siltstone; Sichuan",J3,154.3,0,106.7,31.8,236,64.7,7,218.3,70.2,6,Yokoyama et al. (1999)
J3.S.2,"Sandstone, siltstone; Sichuan",J3,154.3,0,104.5,30.4,222.7,61.3,4.2,205.8,65.8,6,Yokoyama et al. (2001)
J3.S.4,Redbeds; Sichuan,J3,154.3,0,102.4,26.7,185.7,74.2,3.8,143.9,69.6,6,Huang and Opdyke (1991)
J3.S.5,Redbeds; Sichuan,J3,154.3,0,102.9,29.9,235.5,74.6,11.6,190.6,79.7,6,"Enkin et al. (1991a, 1991b)"
J3.S.6,Siltstone; Sichuan,J3,154.3,0,106.2,32.1,236.4,66.6,7,215,72.5,6,Bai et al. (1998)
J1-2.S.1,Sediments; Sichuan,J2,168.8,0,102.4,25,201.3,77.4,5.9,150,74.9,4,Zhu et al. (1988)
J1-2.S.3,Sediments; Shaanxi,J1-J2,174.1,0,105,28.5,226.9,79.1,4.5,157.5,79.6,6,Yang and Besse (2001)
J1-2.S.6,Sediments; Guangxi,J1,187.7,0,108.5,22.6,225.8,79,14,169.3,79.6,5,Gilder et al. (1993b)
T2-3.S.5,Sediments; Guangxi,T2,242.1,0,107.2,23.6,208.7,32.2,7.9,206.3,33.2,5,Gilder et al. (1995)
T2-3.S.7,Redbeds; Hunan,T2,242.1,0,110.2,29.4,200,29.8,4,190.6,33.3,6,Huang and Opdyke (1996)
T2-3.S.8,Redbeds; Hubei,T2,242.1,0,111.7,31.4,218.8,50.5,5.8,206.3,54.5,6,Huang and Opdyke (1997)
T2-3.S.10,Sandstone; Jiangsu and Hubei,T2,242.1,0,116.2,31.5,221.6,50.6,3.2,208.2,54.7,6,Su et al. (2005)
T1.S.2,Dolomite; Zhejiang,T1,250,-1,119.5,31,232.1,51.8,11.2,,,4,Dobson et al. (1993)
T1.S.3,Limestone; Sichuan,T1,250,-1,106,30.8,215.5,41.7,12.6,,,6,Steiner et al. (1989)
T1.S.4,Limestone; Hubei,T1,250,-1,110.8,31.1,208.4,30.2,6.7,,,5,Shen et al. (1999)
T1.S.5,Limestone; Guangdong,T1,250,-1,112.7,24.7,212.7,38.5,3.6,,,6,Shen et al. (2006)
T1.S.9,Limestone; Guangxi,T1,250,-1,107.2,22.3,199.2,36.1,5.5,,,5,Gilder et al. (2008b)
T1.S.10,Limestone; Sichuan,T1,250,-1,107.8,29.2,212.4,35.5,4,,,5,Chen et al. (1993)
T1.S.11,"Mudstone, limestone; Guizhou",T1,250,0,106.9,28.6,219.2,46.3,10.9,213.8,48.7,6,Opdyke et al. (1986)
T1.S.12,Limestone; Sichuan,T1,250,-1,106,29.5,215.1,40.7,6.3,,,6,Enkin et al. (1992b)
T1.S.13,Limestone; Sichuan,T1,250,-1,106.2,32.1,214.6,42.5,4.4,,,6,Bai et al. (1997)
T1.S.14,Limestone; Hubei,T1,250,-1,110.4,31.2,216.3,39.3,3.3,,,4,Wu et al. (1999)
T1.S.15,Limestone; Sichuan,T1,250,-1,105,28.9,217.2,44.1,4.9,,,6,Yang et al. (2001)
T1.S.16,Carbonate; Sichuan,T1,250,-1,107.7,29.3,217.4,44.3,3.5,,,4,Heller et al. (1995)
T1.S.17,Sandstone; Sichuan,T1,250,0,103.4,29.6,227.6,56.2,2.4,220.2,59.5,6,Ma et al. (1993c)
P3-T1.S.1,Mud-limestone; Guizhou,T1-P3,252.2,-1,105.3,26,214.6,46.2,2.7,,,4,Glen et al. (2009)
P3-T1.S.2,Carbonates; Sichuan,T1-P3,252.2,-1,105.4,32.3,218.8,44.1,2.4,,,4,Glen et al. (2009)
P3-T1.S.3,Limestone; Sichuan,T1-P3,252.2,-1,107,30,216.2,39.8,3.8,,,6,Enkin et al. (1992a)
P3.S.1,Basalt; Yunnan,P3,257,1,103.5,27.2,241.8,49.2,6.3,,,5,Liu et al. (2012)
P3.S.2,Basalt; Yunnan,P3,257,1,103.4,29.6,254.3,54.5,2.5,,,5,Ma et al. (1993c)
P3.S.3,Basalt; Sichuan,P3,257,1,102.7,25,241,50.3,6.1,,,5,Van der Voo et al. (1993)
P3.S.5,Basalt; Sichuan,P3-P2,259.8,1,103.3,29.3,248.8,60.2,4.4,,,4,Ali et al. (2002)
P2.S.1,Basalt; Yunnan,P2,266.1,1,103.3,27.3,262,58.3,4.2,,,5,Liu et al. (2012)
P2.S.2,Basalt; Yunnan,P2,266.1,1,103.5,27.2,241.8,49.2,6.3,,,5,Liu et al. (2012)
P2.S.5,"Basalt, sandstone; Sichuan",P2,266.1,1,103.4,29.6,252,54,6.2,,,5,McElhinny et al. (1981)
P2.S.6,Basalt; Sichuan,P2,266.1,1,103.4,29.6,252,49.7,4,,,4,Zhao and Coe (1989)
P2.S.8,Basalt; Yunnan,P2,266.1,1,103,25.6,241,50,4.3,,,5,Fang et al. (1990)