site,n,dec_geog,inc_geog,dec,inc,k,a95,plat,plon,dp,dm,polarity
ZJ01,9,292,42.8,314.6,70.2,14.3,14.1,47.6,71.5,21,24.3,N
ZJ02,7,297.1,44.7,327.3,70.2,71.6,7.2,54.2,77,10.7,12.4,N
ZJ03,5,95.3,-27.8,95.5,-58.8,63.7,9.7,-21.1,234.3,10.7,14.4,R
ZJ04,5,296.7,46.4,327.8,71.4,27.1,15,53.3,79.7,23,26.3,N
ZJ05,8,289,33.5,301,62.5,16,14.3,40.5,55.2,17.4,22.3,N
ZJ06,6,105.7,-27.8,112.4,-58.1,50.1,9.6,-33.6,229.7,10.4,14.2,R
ZJ07,8,107.3,-38,119.6,-67.8,68.6,6.7,-39.4,244.2,9.4,11.2,R
ZJ08,9,273.2,51.2,266.7,82.2,41.4,8.1,25.6,92.6,15.4,15.8,N
ZJ09,8,268.6,33.6,263.2,64.9,19.1,13,15.4,64.8,16.9,21,N
ZJ10,6,283.3,27.6,290.2,58.8,42.8,10.4,32,51,11.5,15.5,N
ZJ11,10,270.5,42.7,263.8,73.7,24.4,10,20.5,77.2,16.2,18,N
ZJ13,9,285,44.5,302.2,74.3,93.9,5.3,39.4,77.2,8.7,9.6,N