sample,spot,206Pb/238U,206Pb/238U_sigma,discordance,include
ZJ-B,ZJ-B@01,806.6,11.5,1.7 ,yes
ZJ-B,ZJ-B@02,791.5,11.8,-2.7 ,yes
ZJ-B,ZJ-B@19,797.6,11.5,0.8 ,yes
ZJ-B,ZJ-B@24,824.9,11.9,2.2 ,yes
ZJ-B,ZJ-B@04,791.9,11.5,-3.3 ,yes
ZJ-B,ZJ-B@10,817.3,11.6,0.0 ,yes
ZJ-B,ZJ-B@14,816.2,11.9,2.1 ,yes
ZJ-B,ZJ-B@23,803.6,13.3,-1.8 ,yes
ZJ-B,ZJ-B@12,786.6,11.2,-4.1 ,yes
ZJ-B,ZJ-B@20,801.2,11.6,4.9 ,yes
ZJ-B,ZJ-B@17,798.7,11.3,-1.6 ,yes
ZJ-B,ZJ-B@16,808.6,11.6,4.4 ,yes
ZJ-B,ZJ-B@21,791.7,11.2,8.5 ,yes
ZJ-B,ZJ-B@13,795.9,15.2,2.1 ,yes
ZJ-B,ZJ-B@09,790.8,12.7,10.3 ,yes
ZJ-B,ZJ-B@22,808.4,11.6,-6.8 ,no
ZJ-B,ZJ-B@18,826.0,12.0,3.4 ,no
ZJ-B,ZJ-B@11,827.2,11.7,0.0 ,no
ZJ-B,ZJ-B@15,760.1,10.8,20.0 ,no
ZJ-B,ZJ-B@08,803.4,11.3,-6.5 ,no
ZJ-B,ZJ-B@05,810.4,11.4,-6.4 ,no
ZJ-B,ZJ-B@07,791.3,11.3,-22.1 ,no
ZJ-B,ZJ-B@03,797.8,11.7,24.5 ,no
ZJ-B,ZJ-B@06,802.2,11.4,8.3 ,no