sample,zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,discordance,include
17080201,z4,804.12,0.71,807.83,1.73,818.10,5.30,1.74,no
17080201,z1,804.38,0.74,805.03,1.95,806.82,6.32,0.33,yes
17080201,z2,804.67,0.94,804.49,3.20,804.00,10.43,-0.05,yes
17080201,z5,805.02,0.73,805.55,1.17,807.04,2.84,0.28,yes
17080201,z6,805.23,0.80,805.83,1.66,807.48,5.05,0.32,yes
17080201,z3,805.24,0.85,805.36,1.88,805.70,5.85,0.09,yes
HZ-8-2,z18,804.34,0.57,803.51,1.16,801.23,3.36,-0.36,yes
HZ-8-2,z10,804.70,0.63,804.30,1.30,803.21,3.77,-0.16,yes
HZ-8-2,z22,804.92,1.05,802.18,3.41,794.60,12.04,-1.28,yes
HZ-8-2,z23,809.85,1.38,808.78,6.36,805.83,22.85,-0.48,no
HZ-59-6,z89,808.42,1.31,811.45,5.14,819.76,18.09,1.41,yes
HZ-59-6,z5,808.51,1.29,804.95,5.58,795.10,19.50,-1.66,yes
HZ-59-6,z6,809.60,0.85,811.12,2.63,815.31,8.74,0.72,yes
HZ-59-6,z4,810.15,1.17,806.92,4.41,798.04,15.31,-1.49,yes
HZ-59-6,z3,810.55,1.28,805.72,6.14,792.41,21.33,-2.25,yes
HZ-59-6,z9,810.99,6.08,822.57,34.27,854.01,115.84,5.06,yes
HZ-59-6,z24,813.41,0.75,815.79,1.91,822.30,6.02,1.12,no
HZ-59-6,z30,832.33,3.35,836.95,5.23,849.22,15.68,2.02,no
HZ-59-6,z2,1686.09,2.05,1687.11,3.57,1688.38,7.24,0.14,no
HZ-470,z9,809.55,0.53,811.00,1.10,814.95,3.88,0.69,no
HZ-470,z11,814.18,0.34,814.14,0.70,814.03,2.46,0.01,no
HZ-470,z14,815.23,0.52,815.70,0.71,816.99,2.14,0.25,yes
HZ-470,z2,815.35,0.54,815.71,0.80,816.70,1.69,0.20,yes
HZ-470,z3,815.62,0.72,816.98,2.39,820.70,8.28,0.65,yes
HZ-470,z7,815.73,0.99,815.63,0.88,815.35,1.90,-0.02,yes
HZ-470,z8,815.85,0.27,815.87,0.40,815.92,1.25,0.04,yes
HZ-470,z12,815.93,0.36,815.43,0.56,814.06,1.78,-0.20,yes
HZ-470,z1,816.69,0.53,816.90,0.84,817.48,1.95,0.13,no
HZ-470,z4,816.73,0.61,816.60,0.88,816.24,2.11,-0.03,no
HZ-470,z6,817.69,0.34,817.70,0.42,817.73,1.19,0.04,no
HZ-470,z5,818.04,0.54,818.01,0.80,817.92,1.78,0.02,no
HZ-470,z10,818.13,0.30,817.69,0.44,816.47,1.32,-0.17,no
HZ-470,z16,826.68,0.32,824.61,0.43,819.04,1.27,-0.90,no
HZ-470,z13,830.20,0.53,825.34,0.85,812.27,2.03,-2.17,no
HZ-470,z15,844.63,0.31,837.47,0.90,818.55,3.17,-3.16,no
LM1.84,z5,812.67,0.73,812.99,0.96,813.86,2.20,0.18,yes
LM1.84,z3,812.88,0.57,812.67,0.88,812.09,2.13,-0.07,yes
LM1.84,z1,813.47,0.57,813.40,0.89,813.19,2.27,0.00,yes
LM1.84,z4,817.05,1.02,817.05,2.02,817.07,5.95,0.03,no
LM27.19,z5,804.84,0.56,806.95,1.16,812.78,3.42,1.01,no
LM27.19,z6,807.82,0.91,808.27,4.24,809.52,15.58,0.24,no
LM27.19,z9,813.90,0.39,813.80,0.88,813.52,3.20,-0.02,yes
LM27.19,z8,814.06,0.48,813.32,1.08,811.29,3.66,-0.31,yes
LM27.19,z2,814.11,0.53,814.33,0.83,814.92,1.97,0.13,yes
LM27.19,z12,814.55,0.67,814.81,0.99,815.50,3.29,0.14,yes
LM27.19,z11,814.57,0.44,814.14,0.70,812.95,2.47,-0.17,yes
LM27.19,z4,815.24,0.59,814.91,1.15,814.02,3.28,-0.12,no
LM27.19,z7,815.75,0.53,814.78,1.43,812.13,5.12,-0.41,no
QR8-74-0,z3,804.83,1.24,805.14,3.41,806.01,11.84,0.17,no
QR8-74-0,z16,810.71,1.64,808.35,4.05,801.85,13.64,-1.08,yes
QR8-74-0,z11,810.75,1.28,812.97,4.90,819.06,17.07,1.02,yes
QR8-74-0,z2,812.05,0.90,809.95,2.91,804.18,9.90,-0.95,yes
QR8-74-0,z8,820.43,0.67,821.41,1.00,824.08,2.43,0.48,no
QR8-74-0,z12,851.34,3.08,860.05,15.02,882.58,52.25,3.57,no
FDM14-1,z1,748.40,0.56,750.56,1.03,757.00,3.75,1.17,no
FDM14-1,z17,774.57,0.64,775.72,1.78,779.03,6.08,0.60,no
FDM14-1,z3,776.24,0.63,775.95,0.96,775.12,3.20,-0.11,no
FDM14-1,z4,776.90,0.38,777.25,0.57,778.28,1.85,0.20,no
FDM14-1,z8,778.89,0.79,778.89,1.37,778.91,4.19,0.03,yes
FDM14-1,z15,778.95,1.10,780.15,1.90,783.60,5.77,0.62,yes
FDM14-1,z9,779.07,0.75,779.49,1.24,780.71,3.68,0.24,yes
FDM14-1,z7,779.40,0.94,779.09,2.41,778.20,8.46,-0.12,yes
FDM14-1,z12,779.59,0.75,780.56,1.87,783.35,6.22,0.49,yes
FDM14-1,z13,779.62,0.69,779.22,0.99,778.08,2.55,-0.17,yes
FDM14-1,z5,779.67,0.50,779.65,1.36,779.59,5.02,0.02,yes
FDM14-1,z16,780.83,0.92,780.36,2.68,779.02,9.09,-0.21,yes
FDM14-1,z2,781.21,1.32,781.79,2.05,783.45,6.58,0.32,no
FDM14-1,z11,781.44,1.10,783.35,5.17,788.79,19.22,0.95,no
FDM14-1,z14,795.30,0.68,794.22,1.31,791.16,3.99,-0.50,no
FDM14-1,z6,795.65,1.51,792.55,2.85,783.85,9.14,-1.48,no